iter	Passed	Remaining
635	105276	225782
636	105533	225811
637	105725	225702
638	105958	225680
639	106180	225633
640	106381	225541
641	106575	225435
642	106749	225285
643	106949	225190
644	107178	225157
645	107406	225121
646	107600	225012
647	107789	224894
648	107999	224817
649	108232	224790
650	108460	224750
651	108675	224684
652	108887	224612
653	109119	224580
654	109353	224549
655	109605	224557
656	109837	224522
657	110053	224455
658	110270	224388
659	110494	224337
660	110716	224280
661	110932	224212
662	111132	224107
663	111363	224067
664	111597	224033
665	111754	223844
666	111969	223771
667	112114	223556
668	112304	223433
669	112516	223353
670	112689	223195
671	112874	223061
672	113048	222904
673	113262	222828
674	113477	222751
675	113665	222623
676	113801	222391
677	113986	222256
678	114183	222144
679	114419	222108
680	114597	221959
681	114684	221634
682	114872	221504
683	115056	221365
684	115235	221219
685	115433	221107
686	115658	221047
687	115829	220884
688	116019	220757
689	116196	220604
690	116376	220458
691	116577	220352
692	116794	220273
693	117067	220303
694	117361	220369
695	117650	220425
696	117896	220400
697	118154	220397
698	118407	220383
699	118644	220339
700	118866	220267
701	119063	220149
702	119267	220043
703	119472	219937
704	119693	219862
705	119873	219711
706	120065	219582
707	120254	219447
708	120494	219404
709	120707	219313
710	120915	219212
711	121099	219067
712	121286	218928
713	121455	218756
714	121650	218630
715	121922	218643
716	122161	218595
717	122384	218518
718	122602	218434
719	122822	218351
720	123082	218338
721	123325	218297
722	123557	218233
723	123721	218050
724	123960	217999
725	124190	217931
726	124395	217820
727	124590	217690
728	124773	217540
729	125001	217468
730	125195	217336
731	125387	217201
732	125558	217029
733	125743	216882
734	125948	216769
735	126130	216615
736	126310	216458
737	126506	216329
738	126720	216231
739	126919	216105
740	127159	216050
741	127348	215909
742	127535	215764
743	127709	215594
744	127889	215438
745	128113	215354
746	128377	215337
747	128589	215233
748	128697	214953
749	128863	214772
750	129068	214655
751	129253	214506
752	129460	214392
753	129639	214231
754	129834	214097
755	130023	213953
756	130268	213902
757	130503	213832
758	130741	213767
759	130945	213647
760	131109	213462
761	131292	213306
762	131469	213143
763	131658	212997
764	131832	212827
765	131997	212643
766	132199	212518
767	132416	212417
768	132655	212351
769	132854	212222
770	133036	212064
771	133255	211965
772	133431	211799
773	133639	211682
774	133882	211621
775	134099	211517
776	134311	211407
777	134498	211256
778	134695	211121
779	134824	210879
780	135001	210712
781	135223	210616
782	135474	210565
783	135734	210526
784	135948	210417
785	136137	210267
786	136322	210112
787	136536	210002
788	136751	209894
789	136983	209810
790	137161	209644
791	137333	209468
792	137526	209324
793	137732	209201
794	137926	209057
795	138127	208926
796	138337	208807
797	138576	208733
798	138771	208590
799	138973	208460
800	139147	208286
801	139325	208120
802	139468	207900
803	139650	207739
804	139825	207567
805	139996	207389
806	140188	207243
807	140361	207067
808	140561	206933
809	140761	206797
810	140999	206717
811	141223	206617
812	141405	206455
813	141601	206313
814	141842	206237
815	142021	206070
816	142194	205895
817	142382	205740
818	142549	205556
819	142754	205426
820	142954	205289
821	143168	205172
822	143358	205021
823	143548	204870
824	143737	204717
825	143976	204634
826	144192	204519
827	144416	204415
828	144647	204321
829	144896	204251
830	145080	204089
831	145300	203978
832	145503	203845
833	145679	203671
834	145919	203588
835	146135	203470
836	146411	203436
837	146543	203202
838	146677	202971
839	146804	202729
840	146961	202530
841	147109	202319
842	147243	202088
843	147370	201848
844	147488	201597
845	147610	201350
846	147731	201102
847	147857	200862
848	148009	200658
849	148138	200422
850	148260	200177
851	148403	199961
852	148550	199750
853	148689	199529
854	148814	199289
855	148953	199068
856	149109	198870
857	149240	198638
858	149371	198408
859	149488	198158
860	149610	197916
861	149738	197682
862	149859	197439
863	149982	197198
864	150127	196987
865	150253	196752
866	150389	196530
867	150521	196302
868	150649	196070
869	150775	195834
870	150917	195621
871	151052	195398
872	151217	195214
873	151344	194981
874	151479	194758
875	151618	194542
876	151816	194401
877	152075	194338
878	152346	194289
879	152548	194152
880	152752	194018
881	152934	193855
882	153190	193786
883	153457	193731
884	153669	193606
885	153931	193543
886	154191	193478
887	154471	193436
888	154618	193229
889	154800	193066
890	154994	192916
891	155200	192783
892	155446	192698
893	155671	192586
894	155917	192501
895	156174	192429
896	156453	192383
897	156646	192231
898	156840	192081
899	157037	191934
900	157255	191813
901	157476	191695
902	157697	191576
903	157874	191405
904	158101	191293
905	158317	191169
906	158547	191061
907	158758	190930
908	158994	190827
909	159163	190646
910	159377	190518
911	159610	190412
912	159848	190312
913	160097	190225
914	160333	190122
915	160556	190003
916	160789	189896
917	161010	189774
918	161180	189593
919	161401	189471
920	161585	189305
921	161786	189160
922	162009	189040
923	162241	188930
924	162465	188810
925	162697	188701
926	162911	188569
927	163085	188392
928	163261	188216
929	163475	188084
930	163682	187944
931	163941	187863
932	164128	187701
933	164494	187741
934	165420	188420
935	165614	188263
936	165829	188128
937	166066	188019
938	166258	187859
939	166452	187701
940	166650	187548
941	166824	187368
942	167068	187265
943	167299	187148
944	167537	187038
945	167747	186898
946	167953	186752
947	168212	186665
